,year_built,residential_units,commercial_units,land_sqft,gross_sqft,total_units,sale_price,NumBldgs,NumFloors,sale_month,sale_day
14352,1899,2,0,1667.0,2800.0,2,1589000.0,1.0,3.0,4,5
14544,1899,1,0,1800.0,2160.0,1,1575000.0,1.0,2.0,3,15
14688,1899,2,0,1700.0,2852.0,2,1560000.0,1.0,3.0,9,21
14964,1925,2,0,3322.0,2722.0,2,1550000.0,2.0,2.0,9,25
14976,1920,1,0,4000.0,4500.0,1,1550000.0,2.0,3.0,4,27
15360,1926,4,0,3517.0,3000.0,4,1520000.0,1.0,2.0,12,12
15372,1900,4,0,2000.0,3027.0,4,1518396.0,1.0,3.0,5,26
15408,1899,1,0,1775.0,2295.0,1,1513687.0,1.0,2.0,3,17
15936,1899,2,0,2181.0,3200.0,2,1500000.0,1.0,3.0,9,14
15948,1899,3,0,1950.0,2110.0,3,1500000.0,1.0,2.0,3,27
15984,1930,3,0,4092.0,3129.0,3,1500000.0,2.0,2.75,1,19
16116,1905,2,0,1800.0,3008.0,2,1499000.0,1.0,3.0,9,13
16200,1900,4,0,2500.0,4377.0,4,1490000.0,1.0,3.0,10,11
16236,1899,3,0,1758.0,2571.0,3,1485000.0,1.0,2.0,7,14
16296,1940,0,0,2000.0,0.0,0,1480000.0,1.0,1.0,8,28
16488,1923,4,0,2250.0,3116.0,4,1470000.0,1.0,2.0,9,12
16536,1920,2,0,1406.0,1856.0,2,1465000.0,1.0,2.0,2,28
16884,1901,3,0,2000.0,3336.0,3,1450000.0,1.0,2.0,9,11
16920,1924,4,0,2504.0,3200.0,4,1450000.0,1.0,2.0,1,3
17052,1930,1,0,3280.0,1992.0,1,1440000.0,1.0,3.0,12,13
17100,1899,2,0,1867.0,1710.0,2,1435000.0,1.0,2.0,2,28
17160,1925,3,0,2500.0,2600.0,3,1430000.0,2.0,2.0,2,10
17304,1899,2,0,1600.0,2990.0,2,1425000.0,1.0,3.0,8,28
17328,1935,1,0,4000.0,1910.0,1,1425000.0,2.0,2.0,6,2
17520,1920,2,0,3700.0,2500.0,2,1410000.0,2.0,2.5,10,30
17964,1899,2,0,1406.0,2185.0,2,1400000.0,1.0,2.0,6,16
17976,1920,1,0,2705.0,900.0,1,1400000.0,2.0,1.0,6,12
17988,1935,2,0,3120.0,4788.0,2,1400000.0,1.0,2.0,5,23
18012,1930,2,0,2500.0,2720.0,2,1400000.0,2.0,2.0,12,20
18024,1925,2,0,2250.0,2304.0,2,1400000.0,2.0,2.0,4,20
18192,1931,3,0,2000.0,2700.0,3,1395000.0,1.0,3.0,6,26
18432,1925,2,0,2450.0,2280.0,2,1377000.0,2.0,2.0,4,18
18540,1925,2,0,2000.0,1750.0,2,1375000.0,1.0,2.0,3,15
18612,1935,2,0,2248.0,1976.0,2,1374000.0,1.0,2.0,10,25
18660,1925,1,1,1200.0,2080.0,2,1370000.0,1.0,2.0,2,1
18804,1920,2,0,2400.0,2320.0,2,1360000.0,2.0,2.0,11,27
18828,1915,3,0,2000.0,2880.0,3,1359000.0,1.0,2.0,6,27
18852,1931,3,0,920.0,3700.0,3,1355000.0,1.0,3.0,5,16
19200,1937,0,1,2500.0,3750.0,1,1350000.0,1.0,2.0,8,9
19224,1930,3,0,4000.0,2800.0,3,1350000.0,2.0,2.5,5,5
19368,1910,2,0,2000.0,3120.0,2,1345000.0,1.0,2.0,8,4
19500,1940,3,0,2450.0,2560.0,3,1335000.0,2.0,2.0,12,7
19572,1920,2,0,2458.0,2680.0,2,1330000.0,2.0,2.0,9,28
19740,1899,2,0,2000.0,2400.0,2,1325000.0,1.0,2.0,8,21
19764,1901,3,0,2003.0,3000.0,3,1325000.0,1.0,2.0,11,6
19788,1901,2,0,2000.0,3120.0,2,1324000.0,1.0,2.0,1,10
19884,2002,3,0,1574.0,3540.0,3,1320000.0,1.0,3.0,4,17
19896,1930,2,0,4000.0,2608.0,2,1320000.0,2.0,2.0,2,27
19968,1930,2,0,1649.0,2021.0,2,1315000.0,1.0,2.0,5,25
20052,1899,2,0,2000.0,3210.0,2,1310000.0,1.0,2.0,8,17
20076,1935,2,0,2500.0,4080.0,2,1308000.0,2.0,2.0,7,19
20652,1910,0,0,1125.0,2850.0,0,1300000.0,1.0,3.0,12,5
20676,1930,4,0,2003.0,2600.0,4,1300000.0,1.0,2.0,6,22
20700,1914,1,1,3469.0,4000.0,2,1300000.0,1.0,2.0,8,17
20712,1920,1,0,1800.0,2328.0,1,1300000.0,1.0,3.0,1,5
20736,1925,2,0,2950.0,2640.0,2,1300000.0,2.0,2.0,9,12
20748,1901,1,0,4007.0,2180.0,1,1300000.0,1.0,2.0,5,12
20892,1905,2,0,2050.0,3192.0,2,1299000.0,1.0,2.0,3,13
20952,1920,2,0,2003.0,2208.0,2,1295000.0,1.0,2.0,4,25
21192,1899,2,0,1758.0,2940.0,2,1280000.0,1.0,3.0,5,16
