,year_built,residential_units,commercial_units,land_sqft,gross_sqft,total_units,sale_price,NumBldgs,NumFloors,sale_month,sale_day
4191,1901,2,0,2575.0,6200.0,2,3500000.0,1.0,4.0,3,21
4192,1931,8,0,2675.0,7768.0,8,3500000.0,1.0,4.0,5,18
4193,1925,0,1,6000.0,15624.0,1,3500000.0,1.0,3.0,10,16
4194,1946,0,2,11400.0,11020.0,2,3500000.0,1.0,1.0,5,5
4195,2000,5,0,2254.0,4600.0,5,3500000.0,1.0,4.0,7,12
4196,2003,9,0,2131.0,8084.0,9,3500000.0,1.0,4.0,2,21
4197,1930,1,0,4000.0,2559.0,1,3500000.0,2.0,2.5,11,14
4198,1925,1,0,4000.0,2908.0,1,3500000.0,2.0,2.0,8,9
4199,1925,1,0,4000.0,1720.0,1,3500000.0,2.0,2.5,10,2
4204,1931,4,0,1600.0,5400.0,4,3500000.0,1.0,4.0,9,13
4206,1920,0,1,7500.0,8325.0,1,3500000.0,1.0,2.0,3,15
4207,1931,8,2,4100.0,7917.0,10,3500000.0,2.0,3.0,2,27
4208,1910,14,1,2567.0,11166.0,15,3500000.0,2.0,5.0,5,11
4210,1800,1,0,1020.0,3327.0,1,3500000.0,1.0,3.0,12,12
4235,1901,2,0,1867.0,3600.0,2,3495000.0,1.0,3.0,6,13
4236,1899,2,0,1900.0,3384.0,2,3495000.0,1.0,3.0,2,28
4239,1926,2,1,2250.0,3623.0,3,3490000.0,1.0,3.0,12,11
4247,1931,4,0,3444.0,5766.0,4,3475528.0,1.0,3.0,6,30
4268,1918,0,1,31482.0,31482.0,1,3460000.0,0.0,0.0,5,5
4293,1900,4,0,1800.0,2700.0,4,3450000.0,1.0,3.0,7,25
4294,2005,6,0,2500.0,6875.0,6,3450000.0,2.0,4.0,5,25
4296,1910,1,0,1464.0,2146.0,1,3450000.0,1.0,3.0,5,12
4297,1901,2,0,1833.0,3432.0,2,3450000.0,1.0,3.0,9,25
4318,1931,0,1,3975.0,4500.0,1,3425000.0,1.0,2.0,1,12
4328,1907,18,0,4000.0,12160.0,18,3410000.0,1.0,4.0,1,30
4397,1912,14,2,4500.0,14600.0,16,3400000.0,1.0,4.0,3,23
4398,1910,16,0,4000.0,10400.0,16,3400000.0,1.0,4.0,5,18
4399,1931,0,1,8000.0,8000.0,1,3400000.0,1.0,1.0,2,28
4400,1899,2,0,2200.0,3740.0,2,3400000.0,1.0,3.0,6,20
4401,1899,2,0,1742.0,3396.0,2,3400000.0,1.0,3.0,2,13
4402,1901,2,0,1845.0,3024.0,2,3400000.0,1.0,2.0,6,29
4419,1931,6,0,2350.0,6225.0,6,3385000.0,1.0,3.0,1,31
4430,1925,1,0,6560.0,3040.0,1,3375000.0,1.0,2.5,9,7
4431,1901,2,0,2000.0,2748.0,2,3375000.0,1.0,2.0,8,29
4465,1925,1,0,4440.0,2081.0,1,3350000.0,1.0,2.75,3,10
4466,1901,1,0,1250.0,4480.0,1,3350000.0,1.0,3.0,9,12
4467,1900,3,0,1997.0,2280.0,3,3350000.0,1.0,3.0,1,30
4468,1931,4,0,2620.0,5024.0,4,3350000.0,1.0,4.0,1,11
4469,1901,1,0,2000.0,3424.0,1,3350000.0,1.0,3.0,12,18
4470,1901,2,0,2000.0,4196.0,2,3350000.0,1.0,3.0,5,18
4495,1899,3,0,2500.0,3150.0,3,3325000.0,1.0,3.0,6,30
4496,2015,1,0,1143.0,3007.0,1,3325000.0,1.0,4.0,6,9
4577,1899,2,0,1495.0,3120.0,2,3300000.0,1.0,3.0,3,24
4578,1931,2,1,1235.0,2318.0,3,3300000.0,1.0,2.0,8,31
4579,1920,3,0,4007.0,4852.0,3,3300000.0,1.0,3.0,8,30
4580,1901,2,0,2500.0,3772.0,2,3300000.0,1.0,3.0,8,15
4581,1900,4,0,2200.0,3300.0,4,3300000.0,2.0,3.0,1,30
4582,1905,6,2,3195.0,6840.0,8,3300000.0,1.0,3.0,10,13
4583,2001,6,1,2188.0,10100.0,7,3300000.0,1.0,4.0,2,21
4584,1910,16,0,5154.0,16000.0,16,3300000.0,1.0,4.0,7,7
4585,1930,1,0,4000.0,2048.0,1,3300000.0,1.0,2.75,6,29
4587,1899,2,0,1875.0,2880.0,2,3300000.0,1.0,3.0,9,21
4588,1899,2,0,1900.0,3800.0,2,3300000.0,1.0,3.0,1,27
