,year_built,residential_units,commercial_units,land_sqft,gross_sqft,total_units,sale_price,NumBldgs,NumFloors,sale_month,sale_day
50179,1920,2,0,1960,1384,2,780000,2,2,11,29
50180,1970,1,0,2717,1665,1,780000,1,2,9,28
50181,1901,2,0,2000,1940,2,780000,1,2,10,24
50182,1901,2,0,1750,2040,2,780000,1,3,6,29
50183,1910,2,0,2000,1800,2,780000,1,2,7,11
50184,1901,3,0,2000,2700,3,780000,1,3,2,21
50187,1899,3,0,2395,2712,3,780000,1,2,1,9
50189,1901,2,0,2005,2120,2,780000,1,2,8,22
50190,1920,2,2,2069,3700,4,780000,1,3,6,28
50192,1920,1,0,2350,1200,1,780000,2,2,9,12
50197,1925,1,0,2667,1260,1,780000,1,2,5,9
50198,1925,1,0,2667,1260,1,780000,1,2,2,16
50199,1935,1,0,1424,1216,1,780000,1,2,11,15
50200,1925,1,0,2000,1536,1,780000,2,2,9,5
50201,1950,1,0,2500,1320,1,780000,1,2,6,7
50202,1925,2,0,2500,2080,2,780000,2,2,2,28
50203,1950,1,0,4500,1252,1,780000,1,1,4,5
50204,2001,2,0,2000,2400,2,780000,1,2,10,31
50205,1910,2,0,1575,1631,2,780000,1,3,12,14
50206,1915,1,0,2333,1264,1,780000,1,2.5,7,17
50211,1910,2,0,1669,1440,2,780000,1,3,6,6
50212,1910,2,0,2003,2120,2,780000,1,2,2,8
50410,1905,3,0,2000,3414,3,778000,1,2,1,19
50411,1965,2,0,2683,2226,2,778000,1,2,5,15
50464,1925,2,0,1800,1890,2,776000,2,2,9,28
50819,1965,2,0,4000,1846,2,775000,1,2,1,9
50820,1975,3,0,4625,3825,3,775000,1,3,1,11
50821,1905,1,0,2003,1389,1,775000,2,2,2,22
50823,1945,0,2,800,1440,2,775000,1,2,4,4
50826,2003,3,0,2000,3000,3,775000,1,3,2,16
50830,1931,3,0,2000,3200,3,775000,1,3,1,9
50831,2006,3,0,2172,4932,3,775000,1,3,8,28
50832,1901,2,0,1983,2470,2,775000,1,2,3,3
50833,1920,2,0,2000,3000,2,775000,1,2,6,5
50834,1910,2,0,1867,1936,2,775000,2,2,3,3
50839,1920,1,0,2000,1360,1,775000,1,2,10,2
50840,1901,2,0,2000,3000,2,775000,1,2,6,26
50841,2016,2,0,1746,2663,2,775000,0,3,3,30
50842,1901,3,0,2000,3000,3,775000,1,3,4,13
50843,1930,4,0,2438,3750,4,775000,1,2,10,20
50844,1930,0,1,2650,2650,1,775000,1,1,4,27
50847,1915,2,0,2300,1840,2,775000,1,2,9,26
50850,1960,1,0,1500,1540,1,775000,1,2,7,24
50851,1925,1,0,2000,1260,1,775000,2,2.5,11,13
50852,1930,1,0,2000,1184,1,775000,1,2,12,18
50853,1930,2,0,2500,2400,2,775000,2,2,11,28
50854,1925,2,0,2400,2400,2,775000,1,2,4,21
50855,1899,1,0,1500,1575,1,775000,1,3,6,28
50856,1940,2,0,2158,1606,2,775000,1,1,3,29
50857,1931,0,1,2160,2160,1,775000,1,1,6,29
51143,1920,2,0,1800,3280,2,772000,1,3,7,20
51364,1920,1,0,2492,1620,1,770000,1,2.5,8,15
51366,1899,2,0,2000,2400,2,770000,1,2,3,15
51368,1925,1,0,1700,1478,1,770000,1,2,10,5
51369,1970,3,0,2992,4375,3,770000,1,3,6,9
51372,1901,3,0,1783,1530,3,770000,1,2,11,15
51375,1899,1,0,3194,1152,1,770000,1,2,9,19
51376,1899,2,0,2214,2254,2,770000,1,2,9,18
51377,1924,4,0,3194,3200,4,770000,2,2,3,3
51378,1925,2,0,2153,2660,2,770000,2,2,10,17
51379,1901,2,0,1643,2044,2,770000,2,2,3,20
51383,1925,1,0,2000,1760,1,770000,2,2,6,6
51384,1920,2,0,2738,2480,2,770000,1,2,9,11
51385,1925,1,0,2000,1365,1,770000,2,2,10,24
51387,1955,2,0,2179,2016,2,770000,1,2,5,16
51389,1925,1,0,2000,1296,1,770000,2,2,2,28
51395,1940,2,0,2328,2128,2,770000,1,1,4,24
51396,1955,2,0,2000,2265,2,770000,1,3,4,4
51397,1901,2,0,1995,2352,2,770000,1,2,2,17
51510,1920,2,0,2500,2248,2,769000,1,2,9,28
51591,1960,2,0,2763,2232,2,768000,1,3,4,25
51607,1945,1,0,2200,946,1,767500,1,1,9,11
51644,2002,2,0,2100,2100,2,765300,1,2,6,13
51807,1935,2,0,1426,1509,2,765000,1,2,5,30
51815,1899,2,0,1660,2048,2,765000,1,2,12,22
51816,1930,2,0,2325,1672,2,765000,2,2,12,28
51817,1925,1,0,2000,1326,1,765000,2,2,3,4
51821,1925,1,0,2400,1658,1,765000,2,2,1,23
51822,1905,1,0,2650,1432,1,765000,1,2.5,2,16
51823,1940,1,0,1424,1326,1,765000,2,2,12,7
51824,1965,1,0,4000,2651,1,765000,1,1,5,12
51825,1960,2,0,2000,2240,2,765000,1,3,8,30
51897,1930,2,0,2650,2640,2,764000,1,2,4,7
52074,1915,2,0,1875,2250,2,762000,1,2,8,9
52077,1910,1,0,4500,1560,1,761893,2,2.75,8,4
52080,1925,1,0,2000,1400,1,761250,1,2,9,18
52378,1930,1,0,966,1104,1,760000,1,2,11,9
52381,2004,2,0,2548,1585,2,760000,2,2,9,25
52382,1965,2,0,2500,1836,2,760000,1,2,7,11
52384,1930,2,1,1200,3000,3,760000,1,3,3,27
52387,1920,2,0,5000,1792,2,760000,2,2,11,2
52389,1920,1,0,1300,975,1,760000,1,2,10,20
52390,1910,2,0,2808,2480,2,760000,1,2,10,3
52391,1920,2,0,1900,2000,2,760000,1,2,6,30
52392,1910,2,0,3499,1976,2,760000,1,2,3,20
52394,1925,1,0,2000,1352,1,760000,2,2,7,19
52395,1950,3,0,2633,3124,3,760000,1,2,3,9
52396,1925,2,0,2350,2898,2,760000,2,2,6,30
52397,1930,4,0,2500,3900,4,760000,1,2,5,10
52398,1930,3,1,2000,3280,4,760000,1,2,4,10
52399,1901,1,0,1933,948,1,760000,2,2,11,29
52404,1930,1,0,1800,1890,1,760000,2,2,6,20
52405,1935,1,0,2000,1664,1,760000,2,2,4,4
52406,1925,2,0,1800,1890,2,760000,2,2,8,30
52407,1940,2,0,2200,1694,2,760000,1,1,5,15
52408,1930,2,0,2008,1568,2,760000,1,2,10,26
52409,1915,1,0,2000,1386,1,760000,1,3,11,21
52410,1935,2,0,1725,1672,2,760000,1,2,8,2
52413,1920,3,0,2160,3300,3,760000,2,3,6,16
52416,1930,2,0,3816,2103,2,760000,2,2,2,27
52417,1945,1,0,2200,1771,1,760000,1,1,5,16
52628,1910,2,0,1750,2080,2,758000,1,2,10,30
52644,1901,3,0,1500,3000,3,757500,1,3,6,27
52661,2007,2,0,1395,2325,2,757000,1,2.5,7,10
52819,1899,2,0,1825,1920,2,755000,1,3,5,11
52820,1965,3,0,2167,2999,3,755000,1,3,4,5
52824,1920,2,0,2946,2052,2,755000,2,2,10,5
52825,1910,2,0,2003,2080,2,755000,1,2,12,7
52826,1901,2,0,2325,2080,2,755000,1,2,12,29
52827,1901,2,0,2500,1560,2,755000,1,2,12,22
52828,1920,2,0,1900,2000,2,755000,1,2,5,26
52829,1899,2,0,2000,1528,2,755000,1,2,4,7
52830,1930,1,0,1596,1890,1,755000,2,3,4,17
52831,1931,0,2,1160,1862,2,755000,1,2,12,20
52832,1899,2,0,2555,2700,2,755000,1,2,7,7
52834,1899,1,0,2020,1320,1,755000,2,2,7,27
52904,1930,1,0,1733,1512,1,754000,1,2,9,5
53011,1940,2,0,2550,1764,2,752000,1,1,11,22
53012,1925,3,0,1900,3300,3,752000,1,3,11,28
53036,1920,3,0,2300,2584,3,750888,2,2,12,27
53882,1920,1,0,1933,1152,1,750000,1,2,4,25
53883,1940,2,0,1547,1320,2,750000,1,2,7,5
53885,1925,1,0,3470,1192,1,750000,1,2,6,13
53886,1930,2,1,1200,2160,3,750000,1,2,1,3
53887,1920,2,0,2333,2255,2,750000,1,2.75,5,5
53888,1931,4,1,1350,4051,5,750000,1,3,10,5
53889,1899,2,0,2500,1250,2,750000,1,2.5,2,14
53890,1899,2,0,1567,1881,2,750000,1,2,9,29
53891,1910,2,0,1750,2100,2,750000,1,2,2,27
53892,1930,2,0,1216,1824,2,750000,1,2,5,10
53893,1899,3,0,1875,2466,3,750000,1,2,3,27
53894,1931,4,0,2000,2700,4,750000,1,3,4,20
53898,1930,1,0,1833,1551,1,750000,1,2,8,2
53899,1920,2,0,2600,2259,2,750000,2,2.5,9,28
53900,1970,2,0,2787,1998,2,750000,1,3,12,21
53901,1930,2,0,4000,1809,2,750000,2,2,3,8
53903,1925,2,0,1800,1440,2,750000,1,2,6,29
53909,1930,3,0,1800,1689,3,750000,1,3,5,8
53914,1899,2,0,2504,1344,2,750000,1,2,3,13
53915,1910,2,1,1600,3200,3,750000,1,3,2,23
53916,1945,2,0,2000,2580,2,750000,1,2,6,28
53917,1910,2,0,1900,2565,2,750000,1,3,6,12
53918,1901,3,0,1875,2632,3,750000,1,3,5,4
53930,1940,1,0,2400,2568,1,750000,2,3,4,27
53932,1910,2,0,1875,1440,2,750000,1,2,6,8
53933,1910,2,0,2100,2232,2,750000,1,2,8,10
53934,1901,2,0,2000,2072,2,750000,1,2,9,5
53935,1910,2,0,2749,1936,2,750000,2,2,6,26
53936,1901,3,0,2500,3252,3,750000,1,3,9,18
